"Schema","Status","Error"
"./OSD/V1.5/data/3DModelEventDescriptors.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/3DModelEventDescriptors.json"" already exists"
"./OSD/V1.5/data/3DModelObject.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/3DModelObject.json"" already exists"
"./OSD/V1.5/data/3DModelSceneDescriptors.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/3DModelSceneDescriptors.json"" already exists"
"./OSD/V1.5/data/3DModelSceneGeometry.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/3DModelSceneGeometry.json"" already exists"
"./OSD/V1.5/data/AcousticProfile.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/AcousticProfile.json"" already exists"
"./OSD/V1.5/data/AffordanceTags.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/AffordanceTags.json"" already exists"
"./OSD/V1.5/data/Annotation.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/Annotation.json"" already exists"
"./OSD/V1.5/data/AudioEventDescriptors.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/AudioEventDescriptors.json"" already exists"
"./OSD/V1.5/data/AudioMotionFlags.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/types/AudioMotionFlags.json"" already exists"
"./OSD/V1.5/data/AudioObject.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/AudioObject.json"" already exists"
"./OSD/V1.5/data/AudioProximityClass.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/types/AudioProximityClass.json"" already exists"
"./OSD/V1.5/data/AudioSceneDescriptors.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/AudioSceneDescriptors.json"" already exists"
"./OSD/V1.5/data/AudioSceneGeometry.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/AudioSceneGeometry.json"" already exists"
"./OSD/V1.5/data/AudioSource.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/AudioSource.json"" already exists"
"./OSD/V1.5/data/AudioVisualEventDescriptors.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/AudioVisualEventDescriptors.json"" already exists"
"./OSD/V1.5/data/AudioVisualObject.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/AudioVisualObject.json"" already exists"
"./OSD/V1.5/data/AudioVisualSceneDescriptors.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/AudioVisualSceneDescriptors.json"" already exists"
"./OSD/V1.5/data/AudioVisualSceneGeometry.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/AudioVisualSceneGeometry.json"" already exists"
"./OSD/V1.5/data/Basic3DModelObject.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/Basic3DModelObject.json"" already exists"
"./OSD/V1.5/data/Basic3DModelSceneDescriptors.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/Basic3DModelSceneDescriptors.json"" already exists"
"./OSD/V1.5/data/Basic3DModelSceneGeometry.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/Basic3DModelSceneGeometry.json"" already exists"
"./OSD/V1.5/data/BasicAudioObject.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/BasicAudioObject.json"" already exists"
"./OSD/V1.5/data/BasicAudioSceneDescriptors.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/BasicAudioSceneDescriptors.json"" already exists"
"./OSD/V1.5/data/BasicAudioSceneGeometry.json","invalid","schema with key or id ""https://schemas.mpai.community/OSD/V1.5/data/BasicAudioSceneGeometry.json"" already exists"
